trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.862367254825433, 'e': 4.1292494158732645e-07}",20,8,22.37107725812458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8615048875706075, 'e': 3.73629937988526e-07}",25,14,17.779531498236434,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8606433826830369, 'e': 3.3807434839047367e-07}",25,11,26.375230368474195,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8597827393003539, 'e': 3.059023205018258e-07}",20,10,20.534418638026345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.8589229565610536, 'e': 2.7679186585408023e-07}",30,20,22.79675773338304,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8580640336044925, 'e': 2.504516372327617e-07}",20,10,18.128827319262204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.857205969570888, 'e': 2.26618012776571e-07}",35,27,14.796328147119779,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8563487636013172, 'e': 2.0505245756119267e-07}",25,11,-13.295788283361185,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.8554924148377159, 'e': 1.8553913626159784e-07}",20,11,15.909959057925365,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8546369224228781, 'e': 1.6788275299956603e-07}",20,10,18.797974196171893,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8537822855004553, 'e': 1.5190659675689612e-07}",20,11,18.45342545702804,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8529285032149548, 'e': 1.374507727921396e-07}",20,6,24.509814658167915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8520755747117399, 'e': 1.2437060236028695e-07}",25,9,29.698398460575724,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8512234991370281, 'e': 1.1253517471925912e-07}",25,15,15.91338680570201,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8503722756378911, 'e': 1.0182603693119986e-07}",20,13,12.049943206038124,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8495219033622532, 'e': 9.213600834566135e-08}",20,6,30.241235048887944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8486723814588909, 'e': 8.336810789962771e-08}",30,18,21.755601483276074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.847823709077432, 'e': 7.543458349844232e-08}",25,16,16.37448648152357,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8469758853683546, 'e': 6.82560337633487e-08}",25,20,10.647410748624809,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8461289094829862, 'e': 6.176061335580363e-08}",25,15,20.582178847081543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8452827805735033, 'e': 5.588331392518268e-08}",20,14,9.909184939472944,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
